id;draw;equipament;sku;description;qte;supplier
1;GOB-1A04A.33-M-0047;MA-205A, MA-212, MA-241, MA-211;VOLUME-1;PAINEL, MONT RET, PORTAO PIVOTANTE;2;GRADITEC (1702-1)
2;GOB-1A04A.33-M-0047;MA-211, MA-205;VOLUME-2;PAINEL, MONT RET;2;GRADITEC (1702-1)
3;GOB-1A04A.33-M-0047;MA-205, MA-205A, MA-211, MA-212, MA-241;VOLUME-5;FIXADOR DE SEGURANÇA METÁLICO;2;GRADITEC (1702-1)
4;GOB-1A04A.33-M-0047;MA-205, MA-205A, MA-211, MA-212, MA-241;VOLUME-6;TAMPA, PARABOLT, ARRUELA;2;GRADITEC (1702-1)
5;GOB-1A04A.33-M-0050;MA-211;VOLUME-1;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
6;GOB-1A04A.33-M-0050;MA-211;VOLUME-2;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
7;GOB-1A04A.33-M-0050;MA-211;VOLUME-3;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
8;GOB-1A04A.33-M-0050;MA-211;VOLUME-4;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
9;GOB-1A04A.33-M-0050;MA-211;VOLUME-5;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
10;GOB-1A04A.33-M-0050;MA-211;VOLUME-6;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
11;GOB-1A04A.33-M-0050;MA-211;VOLUME-7;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
12;GOB-1A04A.33-M-0050;MA-211;VOLUME-8;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
13;GOB-1A04A.33-M-0050;MA-211;VOLUME-9;"ROLO DE CARGA (36"")";2;BAOKE (1595-1)
14;GOB-1A04A.33-M-0052;MA-205A;VOLUME-24;"ROLO DE CARGA (42"")";2;BAOKE (1595-1)
15;GOB-1A04A.33-M-0052;MA-205A;VOLUME-25;"ROLO DE CARGA (42"")";2;BAOKE (1595-1)
16;GOB-1A04A.33-M-0052;MA-205A;VOLUME-26;"ROLO DE CARGA (42"")";2;BAOKE (1595-1)
17;GOB-1A04A.33-M-0052;MA-205A;VOLUME-27;"ROLO DE CARGA (42"")";2;BAOKE (1595-1)
